id_venda,data_venda,id_produto,id_cliente,canal_venda,quantidade,preco_unitario,custo_unitario,regiao,receita_liquida,custo_total,margem_bruta_total,mes_nome,ano_mes,id_prod_ref,nome_produto,categoria_produto,marca_produto,faixa_etaria,genero_cliente,estado_cliente,meta_receita,meta_margem
30,2024-12-13,10,50,App,1,4776.93,5960.13,Norte,4776.93,5960.13,-1183.1999999999998,Dec,2024-12-01,10,Produto_10,Acessório,TechOne,46-60,M,SP,,
31,2024-08-18,20,3,Marketplace,3,1410.62,5221.86,Sul,4231.86,15665.579999999998,-11433.719999999998,Aug,2024-08-01,20,Produto_20,Notebook,SmartHub,36-45,M,MG,,
32,2024-07-08,9,44,App,5,295.0,3422.67,Sudeste,1475.0,17113.35,-15638.349999999999,Jul,2024-07-01,9,Produto_9,Acessório,NovaTech,46-60,M,RJ,536793.41,22.771958023851298
33,2024-08-12,3,3,Marketplace,3,2965.75,3138.44,Centro-Oeste,8897.25,9415.32,-518.0699999999997,Aug,2024-08-01,3,Produto_3,Acessório,TechOne,36-45,M,MG,,
34,2024-10-09,20,22,App,5,4418.9,1764.83,Sul,22094.5,8824.15,13270.35,Oct,2024-10-01,20,Produto_20,Notebook,SmartHub,26-35,M,RS,,
35,2024-04-30,11,6,App,5,6734.58,3141.88,Norte,33672.9,15709.400000000001,17963.5,Apr,2024-04-01,11,Produto_11,Acessório,TechOne,46-60,F,BA,,
36,2024-04-25,6,2,Site,3,1107.14,5101.23,Nordeste,3321.42,15303.689999999999,-11982.269999999999,Apr,2024-04-01,6,Produto_6,Smartphone,DataX,26-35,M,MG,,
37,2024-08-20,2,23,Site,2,6421.63,4136.23,Sudeste,12843.26,8272.46,4570.800000000001,Aug,2024-08-01,2,Produto_2,Smartphone,NovaTech,26-35,F,PE,,
38,2024-09-15,7,44,Site,4,6917.77,1797.06,Nordeste,27671.08,7188.24,20482.840000000004,Sep,2024-09-01,7,Produto_7,Acessório,DataX,46-60,M,RJ,,
39,2024-12-24,18,2,App,1,1290.43,1272.67,Centro-Oeste,1290.43,1272.67,17.75999999999999,Dec,2024-12-01,18,Produto_18,Notebook,NovaTech,26-35,M,MG,,
40,2024-07-16,2,38,Site,4,6827.6,1650.03,Sul,27310.4,6600.12,20710.280000000002,Jul,2024-07-01,2,Produto_2,Smartphone,NovaTech,36-45,M,PR,536793.41,22.771958023851298
41,2024-05-16,17,17,Site,1,7932.48,1084.97,Sul,7932.48,1084.97,6847.509999999999,May,2024-05-01,17,Produto_17,Notebook,NovaTech,36-45,M,PR,,
42,2024-11-13,11,35,Site,1,5842.03,646.19,Norte,5842.03,646.19,5195.84,Nov,2024-11-01,11,Produto_11,Acessório,TechOne,18-25,M,PR,390819.29,42.07243455152892
43,2024-06-13,12,34,Marketplace,5,6299.68,2561.29,Sul,31498.4,12806.45,18691.95,Jun,2024-06-01,12,Produto_12,Acessório,SmartHub,46-60,M,RJ,242511.4,53.36185845283974
44,2024-08-12,19,23,Site,1,7955.88,750.73,Sudeste,7955.88,750.73,7205.15,Aug,2024-08-01,19,Produto_19,Notebook,NovaTech,26-35,F,PE,,
45,2024-11-02,7,30,App,1,4883.3,1097.72,Centro-Oeste,4883.3,1097.72,3785.58,Nov,2024-11-01,7,Produto_7,Acessório,DataX,46-60,M,PE,390819.29,42.07243455152892
46,2024-08-21,20,8,Site,3,2532.3,3320.16,Nordeste,7596.900000000001,9960.48,-2363.579999999999,Aug,2024-08-01,20,Produto_20,Notebook,SmartHub,46-60,F,PR,,
47,2024-06-20,6,22,App,4,6716.49,1054.43,Centro-Oeste,26865.96,4217.72,22648.239999999998,Jun,2024-06-01,6,Produto_6,Smartphone,DataX,26-35,M,RS,242511.4,53.36185845283974
48,2024-05-31,1,44,Site,3,4954.44,458.17,Sul,14863.32,1374.51,13488.81,May,2024-05-01,1,Produto_1,Acessório,NovaTech,46-60,M,RJ,,
49,2024-11-10,17,36,Site,1,4691.44,1958.94,Nordeste,4691.44,1958.94,2732.4999999999995,Nov,2024-11-01,17,Produto_17,Notebook,NovaTech,46-60,M,PR,390819.29,42.07243455152892
50,2024-06-08,11,5,App,5,2103.72,1384.29,Norte,10518.599999999999,6921.45,3597.1499999999987,Jun,2024-06-01,11,Produto_11,Acessório,TechOne,36-45,F,MG,242511.4,53.36185845283974
51,2024-04-05,18,13,Site,3,6075.04,3130.61,Centro-Oeste,18225.12,9391.83,8833.289999999999,Apr,2024-04-01,18,Produto_18,Notebook,NovaTech,36-45,F,SP,,
52,2024-08-20,17,29,Site,3,745.17,686.01,Nordeste,2235.5099999999998,2058.0299999999997,177.48000000000002,Aug,2024-08-01,17,Produto_17,Notebook,NovaTech,46-60,F,PR,,
53,2024-06-28,7,31,Site,2,7401.87,4530.48,Nordeste,14803.74,9060.96,5742.780000000001,Jun,2024-06-01,7,Produto_7,Acessório,DataX,36-45,F,MG,242511.4,53.36185845283974
54,2024-04-22,17,47,Site,1,2674.01,5444.9,Nordeste,2674.01,5444.9,-2770.8899999999994,Apr,2024-04-01,17,Produto_17,Notebook,NovaTech,26-35,F,MG,,
55,2024-11-13,20,16,Site,5,1109.42,4481.14,Sudeste,5547.1,22405.7,-16858.6,Nov,2024-11-01,20,Produto_20,Notebook,SmartHub,18-25,F,SP,390819.29,42.07243455152892
56,2024-02-21,9,42,Site,3,3594.7,3234.34,Centro-Oeste,10784.099999999999,9703.02,1081.079999999998,Feb,2024-02-01,9,Produto_9,Acessório,NovaTech,26-35,M,PR,,
57,2024-09-24,17,30,Marketplace,3,435.51,5175.15,Nordeste,1306.53,15525.449999999999,-14218.919999999998,Sep,2024-09-01,17,Produto_17,Notebook,NovaTech,46-60,M,PE,,
58,2024-10-21,20,16,App,5,5508.55,4193.92,Centro-Oeste,27542.75,20969.6,6573.1500000000015,Oct,2024-10-01,20,Produto_20,Notebook,SmartHub,18-25,F,SP,,
59,2024-04-22,8,12,App,1,7231.37,142.46,Nordeste,7231.37,142.46,7088.91,Apr,2024-04-01,8,Produto_8,Notebook,TechOne,18-25,M,PR,,
60,2024-04-10,17,17,Site,2,6714.38,2413.01,Norte,13428.76,4826.02,8602.74,Apr,2024-04-01,17,Produto_17,Notebook,NovaTech,36-45,M,PR,,
61,2024-04-22,7,16,Marketplace,3,1106.22,5117.64,Norte,3318.66,15352.920000000002,-12034.260000000002,Apr,2024-04-01,7,Produto_7,Acessório,DataX,18-25,F,SP,,
62,2024-03-21,1,12,Site,2,1097.54,2127.48,Norte,2195.08,4254.96,-2059.88,Mar,2024-03-01,1,Produto_1,Acessório,NovaTech,18-25,M,PR,541782.03,12.319602036265396
63,2024-07-05,13,8,Site,4,6526.13,288.47,Sul,26104.52,1153.88,24950.64,Jul,2024-07-01,13,Produto_13,Smartphone,SmartHub,46-60,F,PR,536793.41,22.771958023851298
64,2024-04-22,19,20,App,1,7401.61,4497.38,Nordeste,7401.61,4497.38,2904.2299999999996,Apr,2024-04-01,19,Produto_19,Notebook,NovaTech,18-25,F,BA,,
65,2024-01-02,19,3,Site,4,3739.29,4828.07,Sul,14957.16,19312.28,-4355.119999999999,Jan,2024-01-01,19,Produto_19,Notebook,NovaTech,36-45,M,MG,230049.16,71.02088962202687
66,2024-05-09,17,16,Site,4,4041.87,1030.71,Centro-Oeste,16167.48,4122.84,12044.64,May,2024-05-01,17,Produto_17,Notebook,NovaTech,18-25,F,SP,,
67,2024-08-07,13,30,App,4,2614.27,3261.06,Sul,10457.08,13044.24,-2587.16,Aug,2024-08-01,13,Produto_13,Smartphone,SmartHub,46-60,M,PE,,
68,2024-02-23,16,45,Marketplace,1,7164.69,1216.38,Centro-Oeste,7164.69,1216.38,5948.3099999999995,Feb,2024-02-01,16,Produto_16,Smartphone,NovaTech,26-35,F,RS,,
69,2024-12-08,8,23,App,1,5194.73,4337.87,Centro-Oeste,5194.73,4337.87,856.8599999999997,Dec,2024-12-01,8,Produto_8,Notebook,TechOne,26-35,F,PE,,
70,2024-08-11,19,28,Marketplace,5,2377.19,1687.58,Centro-Oeste,11885.95,8437.9,3448.050000000001,Aug,2024-08-01,19,Produto_19,Notebook,NovaTech,26-35,F,BA,,
71,2024-08-12,18,40,Marketplace,2,2460.38,1951.99,Sul,4920.76,3903.98,1016.7800000000002,Aug,2024-08-01,18,Produto_18,Notebook,NovaTech,18-25,M,SP,,
72,2024-05-05,1,5,Site,2,7140.48,5082.23,Nordeste,14280.96,10164.46,4116.5,May,2024-05-01,1,Produto_1,Acessório,NovaTech,36-45,F,MG,,
73,2024-05-09,14,20,Site,5,207.71,2899.83,Sul,1038.55,14499.15,-13460.6,May,2024-05-01,14,Produto_14,Acessório,SmartHub,18-25,F,BA,,
74,2024-02-22,19,40,Site,5,2649.54,4044.95,Nordeste,13247.7,20224.75,-6977.049999999999,Feb,2024-02-01,19,Produto_19,Notebook,NovaTech,18-25,M,SP,,
75,2024-06-20,15,44,App,4,4479.42,2462.05,Nordeste,17917.68,9848.2,8069.48,Jun,2024-06-01,15,Produto_15,Notebook,DataX,46-60,M,RJ,242511.4,53.36185845283974
76,2024-08-05,18,1,App,5,1270.92,1844.2,Centro-Oeste,6354.6,9221.0,-2866.3999999999996,Aug,2024-08-01,18,Produto_18,Notebook,NovaTech,26-35,F,SP,,
77,2024-06-08,2,30,Marketplace,3,827.58,3782.83,Sul,2482.7400000000002,11348.49,-8865.75,Jun,2024-06-01,2,Produto_2,Smartphone,NovaTech,46-60,M,PE,242511.4,53.36185845283974
78,2024-07-16,17,21,Marketplace,2,6540.68,996.76,Nordeste,13081.36,1993.52,11087.84,Jul,2024-07-01,17,Produto_17,Notebook,NovaTech,46-60,F,MG,536793.41,22.771958023851298
79,2024-09-03,18,20,App,5,7165.79,2288.16,Norte,35828.95,11440.8,24388.149999999998,Sep,2024-09-01,18,Produto_18,Notebook,NovaTech,18-25,F,BA,,
80,2024-11-19,6,6,Site,3,6606.49,1317.5,Nordeste,19819.47,3952.5,15866.970000000001,Nov,2024-11-01,6,Produto_6,Smartphone,DataX,46-60,F,BA,390819.29,42.07243455152892
81,2024-07-21,19,22,Marketplace,3,7200.42,4199.11,Norte,21601.260000000002,12597.329999999998,9003.930000000004,Jul,2024-07-01,19,Produto_19,Notebook,NovaTech,26-35,M,RS,536793.41,22.771958023851298
82,2024-07-02,4,18,Marketplace,3,4469.58,5669.72,Sul,13408.74,17009.16,-3600.42,Jul,2024-07-01,4,Produto_4,Acessório,TechOne,26-35,F,PR,536793.41,22.771958023851298
83,2024-05-02,1,8,Marketplace,3,6516.84,5973.42,Sul,19550.52,17920.260000000002,1630.2599999999984,May,2024-05-01,1,Produto_1,Acessório,NovaTech,46-60,F,PR,,
84,2024-09-11,8,39,Site,4,3133.94,2745.64,Sul,12535.76,10982.56,1553.2000000000007,Sep,2024-09-01,8,Produto_8,Notebook,TechOne,26-35,M,MG,,
85,2024-10-20,7,32,App,3,5363.52,1574.98,Nordeste,16090.560000000001,4724.9400000000005,11365.62,Oct,2024-10-01,7,Produto_7,Acessório,DataX,46-60,F,SP,,
86,2024-10-06,3,33,Site,4,7911.8,2701.55,Sudeste,31647.2,10806.2,20841.0,Oct,2024-10-01,3,Produto_3,Acessório,TechOne,36-45,F,BA,,
87,2024-11-20,10,16,Site,4,1883.25,5095.83,Nordeste,7533.0,20383.32,-12850.32,Nov,2024-11-01,10,Produto_10,Acessório,TechOne,18-25,F,SP,390819.29,42.07243455152892
88,2024-04-07,10,12,Site,3,3180.21,1299.55,Nordeste,9540.630000000001,3898.6499999999996,5641.980000000001,Apr,2024-04-01,10,Produto_10,Acessório,TechOne,18-25,M,PR,,
89,2024-07-16,19,38,App,2,3892.37,5716.41,Centro-Oeste,7784.74,11432.82,-3648.08,Jul,2024-07-01,19,Produto_19,Notebook,NovaTech,36-45,M,PR,536793.41,22.771958023851298
90,2024-08-27,14,34,App,3,1190.32,2103.85,Centro-Oeste,3570.96,6311.549999999999,-2740.5899999999992,Aug,2024-08-01,14,Produto_14,Acessório,SmartHub,46-60,M,RJ,,
91,2024-05-23,2,14,Site,3,740.21,5915.96,Nordeste,2220.63,17747.88,-15527.25,May,2024-05-01,2,Produto_2,Smartphone,NovaTech,36-45,M,RS,,
92,2024-04-06,1,36,Site,3,6654.81,5044.56,Norte,19964.43,15133.68,4830.75,Apr,2024-04-01,1,Produto_1,Acessório,NovaTech,46-60,M,PR,,
93,2024-07-19,18,33,App,2,7816.68,4866.74,Centro-Oeste,15633.36,9733.48,5899.880000000001,Jul,2024-07-01,18,Produto_18,Notebook,NovaTech,36-45,F,BA,536793.41,22.771958023851298
94,2024-05-03,7,23,Site,1,3297.33,1962.0,Nordeste,3297.33,1962.0,1335.33,May,2024-05-01,7,Produto_7,Acessório,DataX,26-35,F,PE,,
95,2024-07-05,8,50,Site,1,792.43,131.96,Sudeste,792.43,131.96,660.4699999999999,Jul,2024-07-01,8,Produto_8,Notebook,TechOne,46-60,M,SP,536793.41,22.771958023851298
96,2024-11-21,1,45,App,4,619.91,2342.23,Norte,2479.64,9368.92,-6889.280000000001,Nov,2024-11-01,1,Produto_1,Acessório,NovaTech,26-35,F,RS,390819.29,42.07243455152892
97,2024-12-14,3,2,Marketplace,4,7141.41,1866.71,Sul,28565.64,7466.84,21098.8,Dec,2024-12-01,3,Produto_3,Acessório,TechOne,26-35,M,MG,,
98,2024-09-15,8,41,Site,2,3764.13,301.39,Nordeste,7528.26,602.78,6925.4800000000005,Sep,2024-09-01,8,Produto_8,Notebook,TechOne,46-60,M,PR,,
99,2024-05-27,15,21,Site,5,2628.22,3071.76,Nordeste,13141.099999999999,15358.800000000001,-2217.7000000000025,May,2024-05-01,15,Produto_15,Notebook,DataX,46-60,F,MG,,
100,2024-09-08,5,2,Site,1,3864.04,2465.95,Norte,3864.04,2465.95,1398.0900000000001,Sep,2024-09-01,5,Produto_5,Smartphone,NovaTech,26-35,M,MG,,
101,2024-12-11,3,27,Marketplace,4,2614.6,3836.57,Centro-Oeste,10458.4,15346.28,-4887.880000000001,Dec,2024-12-01,3,Produto_3,Acessório,TechOne,18-25,M,MG,,
102,2024-05-26,19,9,App,1,3963.38,3757.42,Centro-Oeste,3963.38,3757.42,205.96000000000004,May,2024-05-01,19,Produto_19,Notebook,NovaTech,46-60,F,RJ,,
103,2024-05-27,1,1,App,2,6890.5,794.82,Centro-Oeste,13781.0,1589.64,12191.36,May,2024-05-01,1,Produto_1,Acessório,NovaTech,26-35,F,SP,,
104,2024-12-17,15,11,Site,2,4779.18,5863.64,Sul,9558.36,11727.28,-2168.92,Dec,2024-12-01,15,Produto_15,Notebook,DataX,36-45,F,RS,,
105,2024-07-17,8,3,App,5,5587.76,1186.63,Norte,27938.800000000003,5933.150000000001,22005.65,Jul,2024-07-01,8,Produto_8,Notebook,TechOne,36-45,M,MG,536793.41,22.771958023851298
106,2024-11-03,2,23,Site,5,2980.9,2716.02,Norte,14904.5,13580.1,1324.3999999999996,Nov,2024-11-01,2,Produto_2,Smartphone,NovaTech,26-35,F,PE,390819.29,42.07243455152892
107,2024-05-07,3,26,App,2,5934.2,2969.66,Centro-Oeste,11868.4,5939.32,5929.08,May,2024-05-01,3,Produto_3,Acessório,TechOne,26-35,M,SP,,
108,2024-02-08,14,4,Marketplace,4,5366.27,4893.33,Centro-Oeste,21465.08,19573.32,1891.760000000002,Feb,2024-02-01,14,Produto_14,Acessório,SmartHub,26-35,F,SP,,
109,2024-12-03,14,18,App,1,1044.54,667.44,Sudeste,1044.54,667.44,377.0999999999999,Dec,2024-12-01,14,Produto_14,Acessório,SmartHub,26-35,F,PR,,
110,2024-12-25,11,6,Marketplace,3,4623.88,2617.57,Sudeste,13871.64,7852.710000000001,6018.9299999999985,Dec,2024-12-01,11,Produto_11,Acessório,TechOne,46-60,F,BA,,
111,2024-05-08,16,35,Marketplace,5,2128.27,3800.73,Nordeste,10641.35,19003.65,-8362.300000000001,May,2024-05-01,16,Produto_16,Smartphone,NovaTech,18-25,M,PR,,
112,2024-09-23,4,22,Site,3,6452.36,1353.72,Nordeste,19357.079999999998,4061.16,15295.919999999998,Sep,2024-09-01,4,Produto_4,Acessório,TechOne,26-35,M,RS,,
113,2024-05-30,20,43,Marketplace,4,3464.91,3794.61,Norte,13859.64,15178.44,-1318.800000000001,May,2024-05-01,20,Produto_20,Notebook,SmartHub,46-60,F,RJ,,
114,2024-10-24,5,15,Site,5,7958.0,5548.1,Norte,39790.0,27740.5,12049.5,Oct,2024-10-01,5,Produto_5,Smartphone,NovaTech,18-25,F,RJ,,
115,2024-04-08,14,22,App,3,830.75,5985.31,Sul,2492.25,17955.93,-15463.68,Apr,2024-04-01,14,Produto_14,Acessório,SmartHub,26-35,M,RS,,
116,2024-09-19,16,37,Site,4,6264.75,272.11,Sul,25059.0,1088.44,23970.56,Sep,2024-09-01,16,Produto_16,Smartphone,NovaTech,36-45,M,PE,,
117,2024-09-08,18,42,Site,1,5422.24,1474.68,Sudeste,5422.24,1474.68,3947.5599999999995,Sep,2024-09-01,18,Produto_18,Notebook,NovaTech,26-35,M,PR,,
118,2024-05-23,7,12,App,4,6163.24,1917.02,Nordeste,24652.96,7668.08,16984.879999999997,May,2024-05-01,7,Produto_7,Acessório,DataX,18-25,M,PR,,
119,2024-12-11,10,47,Site,5,2529.49,2442.83,Sudeste,12647.449999999999,12214.15,433.2999999999993,Dec,2024-12-01,10,Produto_10,Acessório,TechOne,26-35,F,MG,,
120,2024-04-21,7,49,App,2,3987.23,1514.16,Sudeste,7974.46,3028.32,4946.139999999999,Apr,2024-04-01,7,Produto_7,Acessório,DataX,26-35,M,PR,,
121,2024-02-29,1,42,App,1,6392.42,1284.65,Nordeste,6392.42,1284.65,5107.77,Feb,2024-02-01,1,Produto_1,Acessório,NovaTech,26-35,M,PR,,
122,2024-01-02,19,38,Site,3,1937.08,5730.96,Sul,5811.24,17192.88,-11381.640000000001,Jan,2024-01-01,19,Produto_19,Notebook,NovaTech,36-45,M,PR,230049.16,71.02088962202687
123,2024-10-30,16,18,Site,5,1885.66,5517.65,Nordeste,9428.300000000001,27588.25,-18159.949999999997,Oct,2024-10-01,16,Produto_16,Smartphone,NovaTech,26-35,F,PR,,
124,2024-09-10,19,45,App,2,4453.3,358.2,Centro-Oeste,8906.6,716.4,8190.200000000001,Sep,2024-09-01,19,Produto_19,Notebook,NovaTech,26-35,F,RS,,
125,2024-05-19,4,35,Site,4,4236.15,2085.77,Centro-Oeste,16944.6,8343.08,8601.519999999999,May,2024-05-01,4,Produto_4,Acessório,TechOne,18-25,M,PR,,
126,2024-02-06,18,30,Marketplace,2,2329.87,2478.48,Centro-Oeste,4659.74,4956.96,-297.22000000000025,Feb,2024-02-01,18,Produto_18,Notebook,NovaTech,46-60,M,PE,,
127,2024-06-08,2,24,App,5,2454.8,1494.97,Norte,12274.0,7474.85,4799.15,Jun,2024-06-01,2,Produto_2,Smartphone,NovaTech,26-35,M,MG,242511.4,53.36185845283974
128,2024-01-09,1,42,Marketplace,5,2294.98,3802.93,Sul,11474.9,19014.649999999998,-7539.749999999998,Jan,2024-01-01,1,Produto_1,Acessório,NovaTech,26-35,M,PR,230049.16,71.02088962202687
129,2024-08-20,15,30,App,2,6194.95,3871.05,Sul,12389.9,7742.1,4647.799999999999,Aug,2024-08-01,15,Produto_15,Notebook,DataX,46-60,M,PE,,
130,2024-04-08,5,14,App,4,5250.02,5114.99,Norte,21000.08,20459.96,540.1200000000026,Apr,2024-04-01,5,Produto_5,Smartphone,NovaTech,36-45,M,RS,,
131,2024-05-26,20,6,App,2,6676.1,4465.95,Sudeste,13352.2,8931.9,4420.300000000001,May,2024-05-01,20,Produto_20,Notebook,SmartHub,46-60,F,BA,,
132,2024-10-30,11,3,Site,5,7806.24,3292.03,Centro-Oeste,39031.2,16460.15,22571.049999999996,Oct,2024-10-01,11,Produto_11,Acessório,TechOne,36-45,M,MG,,
133,2024-07-26,10,16,Site,5,3845.9,3949.23,Centro-Oeste,19229.5,19746.15,-516.6500000000015,Jul,2024-07-01,10,Produto_10,Acessório,TechOne,18-25,F,SP,536793.41,22.771958023851298
134,2024-05-10,2,7,Marketplace,3,626.88,1702.01,Sudeste,1880.6399999999999,5106.03,-3225.39,May,2024-05-01,2,Produto_2,Smartphone,NovaTech,36-45,F,RJ,,
135,2024-05-31,3,14,App,3,479.93,3590.89,Nordeste,1439.79,10772.67,-9332.880000000001,May,2024-05-01,3,Produto_3,Acessório,TechOne,36-45,M,RS,,
136,2024-02-23,12,9,Marketplace,1,2435.75,2976.23,Nordeste,2435.75,2976.23,-540.48,Feb,2024-02-01,12,Produto_12,Acessório,SmartHub,46-60,F,RJ,,
137,2024-04-29,20,15,Marketplace,5,7467.1,869.4,Sul,37335.5,4347.0,32988.5,Apr,2024-04-01,20,Produto_20,Notebook,SmartHub,18-25,F,RJ,,
138,2024-06-09,5,21,Marketplace,3,4233.38,1515.86,Norte,12700.14,4547.58,8152.5599999999995,Jun,2024-06-01,5,Produto_5,Smartphone,NovaTech,46-60,F,MG,242511.4,53.36185845283974
139,2024-04-25,5,35,Marketplace,2,2247.11,1806.83,Sul,4494.22,3613.66,880.5600000000004,Apr,2024-04-01,5,Produto_5,Smartphone,NovaTech,18-25,M,PR,,
140,2024-03-15,6,2,App,4,3253.42,5551.91,Nordeste,13013.68,22207.64,-9193.96,Mar,2024-03-01,6,Produto_6,Smartphone,DataX,26-35,M,MG,541782.03,12.319602036265396
141,2024-04-22,9,27,Site,2,4828.9,1443.89,Sudeste,9657.8,2887.78,6770.019999999999,Apr,2024-04-01,9,Produto_9,Acessório,NovaTech,18-25,M,MG,,
142,2024-04-13,2,2,App,4,5258.3,1792.32,Sul,21033.2,7169.28,13863.920000000002,Apr,2024-04-01,2,Produto_2,Smartphone,NovaTech,26-35,M,MG,,
